,GDP_Growth,Inflation,Interest_Rates,Unemployment,Oil_Prices,VIX
2015-01-31,0.5504106992113026,0.5306854824365668,0.26600309941097156,0.1808305306235083,0.8805940624336869,-0.00015683630588735604
2015-02-28,-0.5909370627104006,0.22893863708842235,1.0514268861130946,-0.5073797465929261,-0.18073138334699282,0.20822301905072624
2015-03-31,-0.026952424502869585,-0.4827484288441196,0.5777356508043111,1.1600203610086297,0.0980657295119537,-0.4520341448680003
2015-04-30,-0.7744802625267375,0.14159303262739717,0.5771487556917423,0.2375838732476908,-0.001201920459426922,-0.2946358258946531
2015-05-31,-0.5460818163590448,0.4341823858515167,0.4904992560709441,-0.7728648933453666,0.7949194890903419,0.28703561044700066
2015-06-30,0.6997973225728967,-0.650055470881213,-0.6408952709850304,-0.07448465488364846,0.2513922134475971,0.8981804114634818
2015-07-31,0.3530394569075658,-0.09613055437240323,-0.4627644357657192,0.615000286359575,-0.4823527128753575,0.814234277386161
2015-08-31,-0.1421923248032547,0.8247028010148076,0.3982891744414039,-0.06849774472122913,-0.2596981859130633,-0.1704539386730399
2015-09-30,0.21415834618761875,0.07219169348700963,-0.22967881327805006,-0.08281570515881612,0.0392885148595749,-1.064367047207406
2015-10-31,0.22908405739434934,-0.45204548630798325,-0.5010359495020322,-0.8436721735553552,-0.8969462489339451,-0.6777237515561446
2015-11-30,-0.3545104788152452,1.0186463754859731,-0.17890622450222382,0.08887505313401567,0.20024069325316435,0.06553259310792436
2015-12-31,-0.03872173036299682,-0.5514283944046644,0.8179007489295219,0.9035983218189426,-0.8413293470613429,-0.5120142954431898
2016-01-31,-0.13990517118850307,-0.43184872938786883,0.35382311286238644,-0.36413610120330653,1.0825280339033012,0.595274297171798
2016-02-29,0.10628701531610744,0.5681149803993619,0.6621939096576461,-0.2819737440291216,-0.4081086222709824,0.03907153148482372
2016-03-31,0.430818062248972,0.12835372873847353,-0.6708511822719692,-0.40141222197542115,-0.036986431797189016,-0.03783280216291513
2016-04-30,0.9862710883949041,-0.6299687611154654,0.37884504108600453,0.7445565541641448,1.135724872711398,-0.20219871159198063
2016-05-31,0.2457147263600998,0.3521070693556259,0.23219464728925043,-0.04942260061965303,0.21798769475002294,-1.2661230426098427
2016-06-30,0.34103474503131564,0.13451752325955502,0.03161969446801016,1.023431097859779,-0.33746700939527613,-0.2015379945325154
2016-07-31,0.995776651102367,-0.34040040032408797,-0.12379713726658878,-0.07351271171542499,0.42036724106477463,0.1039012536766567
2016-08-31,-0.6463126735761313,-0.18625234879048552,-0.14401335105988722,-0.038610522611522785,0.21292182931491455,0.20910287794398605
2016-09-30,-0.8880058770242011,0.6160041072258062,0.29435164988906803,0.6922660237969531,0.22209916364533594,0.5506614788678811
2016-10-31,0.23327265572506348,0.7613481722190212,0.4375959062441834,-0.04895762322145203,1.1362173602234409,0.44451856113994603
2016-11-30,0.28687221050220657,-0.545715233479252,-0.4592798591519369,0.1463577410709267,0.0727605988841204,-0.3070612825041581
2016-12-31,0.07049134980602999,0.8909521194839827,0.5409785481995191,-0.5705042548763691,-0.05575441357147185,-0.4024832404262804
2017-01-31,-0.19384995820428058,-0.10596749668036759,-0.03714211903309503,-0.6275676859866974,-0.06382734075909502,-0.2803038184236548
